Comp Name:Grand National Dancesport Championships
Dancers
["Pro heat", "6", "5@Saturday 5:30 PM", "WDC World Professional Latin Int'l Latin Championship (CC,S,R,PD,J)", "???", "Alisauskas, Simona and Alisauskas, Lukas", "---"]
Dancer:Altman, Laura:166:Heats:24
["Heat", "227", "1@Thursday 4:54 PM", "Rhythm Single Dances C1. Open Pre-Silver Amer. Cha Cha", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "228", "1@Thursday 4:55 PM", "Rhythm Single Dances C1. Open Pre-Silver Amer. Rumba", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "229", "1@Thursday 4:57 PM", "Rhythm Single Dances C1. Open Pre-Silver Amer. Swing", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "230", "1@Thursday 4:58 PM", "Rhythm Single Dances C1. Open Pre-Silver Amer. Bolero", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "231", "1@Thursday 5:00 PM", "Rhythm Single Dances C1. Open Pre-Silver Amer. Mambo", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "242", "1@Thursday 5:15 PM", "Rhythm Single Dances C1. Open Bronze Amer. Cha Cha", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "243", "1@Thursday 5:16 PM", "Rhythm Single Dances C1. Open Bronze Amer. Rumba", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "244", "1@Thursday 5:18 PM", "Rhythm Single Dances C1. Open Bronze Amer. Swing", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "245", "1@Thursday 5:19 PM", "Rhythm Single Dances C1. Open Bronze Amer. Bolero", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "246", "1@Thursday 5:21 PM", "Rhythm Single Dances C1. Open Bronze Amer. Mambo", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "267", "1@Thursday 6:03 PM", "Grand National Challenge Events Amer. Rhythm (CC,R)", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "276", "1@Thursday 6:54 PM", "P/A Closed Silver Scholarship SR2 Amer. Rhythm Championship (CC,R,SW)", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "277", "1@Thursday 7:28 PM", "P/A Senior Scholarship SR2 Amer. Rhythm Championship (CC,R,SW,B,M)", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "729", "4@Saturday 10:30 AM", "Smooth Single Dances C1. Closed Full Bronze Amer. Waltz", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "730", "4@Saturday 10:31 AM", "Smooth Single Dances C1. Closed Full Bronze Amer. Tango", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "731", "4@Saturday 10:33 AM", "Smooth Single Dances C1. Closed Full Bronze Amer. Foxtrot", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "732", "4@Saturday 10:34 AM", "Smooth Single Dances C1. Closed Full Bronze Amer. Viennese Waltz", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "667", "4@Saturday 8:47 AM", "Smooth Single Dances C1. Closed Inter-Bronze Amer. Waltz", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "668", "4@Saturday 8:49 AM", "Smooth Single Dances C1. Closed Inter-Bronze Amer. Tango", "???", "Altman, Laura and Blythe, Stephen", "---"]
["Heat", "669", "4@Saturday 8:50 AM", "Smooth Single Dances C1. Closed Inter-Bronze Amer. Foxtrot", "???", "Altman, Laura and Blythe, Stephen", "---"]
