Comp Name:The Snow Ball 2020
Dancers
["Heat", "694", "Session 5: Sunday Daytime@01:47PM Sunday", "AP-C1 Open Full Gold American Waltz", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "695", "Session 5: Sunday Daytime@01:48PM Sunday", "AP-C1 Open Full Gold American Tango", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "696", "Session 5: Sunday Daytime@01:50PM Sunday", "AP-C1 Open Full Gold American Foxtrot", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "697", "Session 5: Sunday Daytime@01:51PM Sunday", "AP-C1 Open Full Gold American Viennese Waltz", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "698", "Session 5: Sunday Daytime@01:52PM Sunday", "AP-A3 Open Full Gold American Waltz", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "699", "Session 5: Sunday Daytime@01:54PM Sunday", "AP-A3 Open Full Gold American Tango", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "700", "Session 5: Sunday Daytime@01:55PM Sunday", "AP-A3 Open Full Gold American Foxtrot", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "701", "Session 5: Sunday Daytime@01:56PM Sunday", "AP-A3 Open Full Gold American Viennese Waltz", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "702", "Session 5: Sunday Daytime@01:59PM Sunday", "AP-C1 Open Adv. Gold American Waltz", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "703", "Session 5: Sunday Daytime@02:01PM Sunday", "AP-C1 Open Adv. Gold American Tango", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "704", "Session 5: Sunday Daytime@02:02PM Sunday", "AP-C1 Open Adv. Gold American Foxtrot", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "705", "Session 5: Sunday Daytime@02:03PM Sunday", "AP-C1 Open Adv. Gold American Viennese Waltz", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "706", "Session 5: Sunday Daytime@02:05PM Sunday", "AP-A3 Open Adv. Gold American Waltz", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "707", "Session 5: Sunday Daytime@02:06PM Sunday", "AP-A3 Open Adv. Gold American Tango", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "708", "Session 5: Sunday Daytime@02:07PM Sunday", "AP-A3 Open Adv. Gold American Foxtrot", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "709", "Session 5: Sunday Daytime@02:09PM Sunday", "AP-A3 Open Adv. Gold American Viennese Waltz", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "779", "Session 6: Sunday Evening@08:58PM Sunday", "AP-B Open Smooth Scholarship  (W/T/F/VW)", "101", "Abrams, John and Trull, Anna", "---"]
["Heat", "780", "Session 6: Sunday Evening@09:06PM Sunday", "AP-S2 Open Smooth Scholarship  (W/T/F/VW)", "101", "Abrams, John and Conway, Ann", "---"]
["Heat", "782", "Session 6: Sunday Evening@09:22PM Sunday", "AP-A Open Smooth Scholarship  (W/T/F/VW)", "101", "Abrams, John and Dodge, Tami", "---"]
Dancer:Afonkin, Igor:248:Heats:79
["Heat", "108", "Session 1: Friday Daytime@01:56PM Friday", "AP-A3 Cl. PreBronze Int'l Cha Cha", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "109", "Session 1: Friday Daytime@01:58PM Friday", "AP-A3 Cl. PreBronze Int'l Samba", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "110", "Session 1: Friday Daytime@01:59PM Friday", "AP-A3 Cl. PreBronze Int'l Rumba", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "112", "Session 1: Friday Daytime@02:02PM Friday", "AP-A3 Cl. PreBronze Int'l Jive", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "118", "Session 1: Friday Daytime@02:10PM Friday", "AP-A3 Cl. Int. Bronze Int'l Cha Cha", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "119", "Session 1: Friday Daytime@02:12PM Friday", "AP-A3 Cl. Int. Bronze Int'l Samba", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "120", "Session 1: Friday Daytime@02:13PM Friday", "AP-A3 Cl. Int. Bronze Int'l Rumba", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "122", "Session 1: Friday Daytime@02:16PM Friday", "AP-A3 Cl. Int. Bronze Int'l Jive", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "172", "Session 1: Friday Daytime@04:25PM Friday", "AP-B Closed Bronze Latin Scholarship (C/R/J)", "102", "Afonkin, Igor and Kerbel, Natalia", "---"]
["Heat", "416", "Session 3: Saturday Daytime@01:49PM Saturday", "AP-B2 Cl. PreSilver American Cha Cha", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "417", "Session 3: Saturday Daytime@01:50PM Saturday", "AP-B2 Cl. PreSilver American Rumba", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "418", "Session 3: Saturday Daytime@01:52PM Saturday", "AP-B2 Cl. PreSilver American Swing", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "419", "Session 3: Saturday Daytime@01:53PM Saturday", "AP-B2 Cl. PreSilver American Bolero", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "420", "Session 3: Saturday Daytime@01:54PM Saturday", "AP-B2 Cl. PreSilver American Mambo", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "436", "Session 3: Saturday Daytime@02:17PM Saturday", "AP-B1 Cl. Int. Silver American Cha Cha", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "437", "Session 3: Saturday Daytime@02:18PM Saturday", "AP-B1 Cl. Int. Silver American Rumba", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "438", "Session 3: Saturday Daytime@02:19PM Saturday", "AP-B1 Cl. Int. Silver American Swing", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "439", "Session 3: Saturday Daytime@02:21PM Saturday", "AP-B1 Cl. Int. Silver American Bolero", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "440", "Session 3: Saturday Daytime@02:22PM Saturday", "AP-B1 Cl. Int. Silver American Mambo", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "441", "Session 3: Saturday Daytime@02:23PM Saturday", "AP-B2 Cl. Int. Silver American Cha Cha", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "442", "Session 3: Saturday Daytime@02:25PM Saturday", "AP-B2 Cl. Int. Silver American Rumba", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "443", "Session 3: Saturday Daytime@02:26PM Saturday", "AP-B2 Cl. Int. Silver American Swing", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "444", "Session 3: Saturday Daytime@02:28PM Saturday", "AP-B2 Cl. Int. Silver American Bolero", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "445", "Session 3: Saturday Daytime@02:29PM Saturday", "AP-B2 Cl. Int. Silver American Mambo", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "446", "Session 3: Saturday Daytime@02:35PM Saturday", "AP-B1 Cl. Full Silver American Cha Cha", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "447", "Session 3: Saturday Daytime@02:37PM Saturday", "AP-B1 Cl. Full Silver American Rumba", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "448", "Session 3: Saturday Daytime@02:38PM Saturday", "AP-B1 Cl. Full Silver American Swing", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "449", "Session 3: Saturday Daytime@02:40PM Saturday", "AP-B1 Cl. Full Silver American Bolero", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "450", "Session 3: Saturday Daytime@02:41PM Saturday", "AP-B1 Cl. Full Silver American Mambo", "102", "Afonkin, Igor and Anderson, Renee", "---"]
["Heat", "451", "Session 3: Saturday Daytime@02:42PM Saturday", "AP-B2 Cl. Full Silver American Cha Cha", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "452", "Session 3: Saturday Daytime@02:44PM Saturday", "AP-B2 Cl. Full Silver American Rumba", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
["Heat", "453", "Session 3: Saturday Daytime@02:45PM Saturday", "AP-B2 Cl. Full Silver American Swing", "102", "Afonkin, Igor and Kennedy, Sharon", "---"]
