Comp Name:Nashville Starz Dance Spectacular
Dancers
["Heat", "518", "03@Friday 3:12 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Tango", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "519", "03@Friday 3:13 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Foxtrot", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "520", "03@Friday 3:15 PM", "American Smooth Single Dance L-A2 Closed Pre-Silver Amer. Viennese Waltz", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "544", "03@Friday 4:03 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Waltz", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "545", "03@Friday 4:04 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Tango", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "546", "03@Friday 4:06 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Foxtrot", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "547", "03@Friday 4:07 PM", "American Smooth Single Dance L-A2 Closed Int. Silver Amer. Viennese Waltz", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "580", "03@Friday 4:57 PM", "ProAm & MixedAm 4-Dance Closed Silver B Amer. Smooth (W,T,F,VW)", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "591", "04@Friday 8:35 PM", "ProAm Closed Silver Scholarship B Amer. Smooth (W,T,F,VW)", "???", "Aleman, Caleb and Bishop, Ann Marie", "---"]
["Heat", "613", "05@Saturday 10:00 AM", "ProAm & MixedAm 3-Dance Closed Bronze B Int'l Latin (CC,S,R)", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "615", "05@Saturday 10:09 AM", "ProAm Closed Bronze Scholarship C Int'l Latin (CC,S,R)", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "598", "05@Saturday 9:30 AM", "International Latin Single Dance L-A2 Closed Pre-Bronze Int'l Cha Cha", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "599", "05@Saturday 9:31 AM", "International Latin Single Dance L-A2 Closed Pre-Bronze Int'l Samba", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "600", "05@Saturday 9:32 AM", "International Latin Single Dance L-A2 Closed Pre-Bronze Int'l Rumba", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "601", "05@Saturday 9:34 AM", "International Latin Single Dance L-A2 Closed Pre-Bronze Int'l Paso Doble", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "602", "05@Saturday 9:35 AM", "International Latin Single Dance L-A2 Closed Pre-Bronze Int'l Jive", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "603", "05@Saturday 9:37 AM", "International Latin Single Dance L-A2 Closed Full Bronze Int'l Cha Cha", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "604", "05@Saturday 9:38 AM", "International Latin Single Dance L-A2 Closed Full Bronze Int'l Samba", "???", "Aleman, Caleb and Granberg, Sara", "---"]
["Heat", "605", "05@Saturday 9:40 AM", "International Latin Single Dance L-A2 Closed Full Bronze Int'l Rumba", "???", "Aleman, Caleb and Granberg, Sara", "---"]
